Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,LOG,Arena,Notes
"Mon, Oct 23, 2017",8:30p,Toronto Raptors,97,San Antonio Spurs,101,Box Score,,18418,2:22,AT&T Center,
"Mon, Oct 23, 2017",9:00p,Washington Wizards,109,Denver Nuggets,104,Box Score,,14294,2:18,Pepsi Center,
"Mon, Oct 23, 2017",10:00p,Sacramento Kings,115,Phoenix Suns,117,Box Score,,14903,2:18,Talking Stick Resort Arena,
"Tue, Oct 24, 2017",7:00p,Chicago Bulls,112,Cleveland Cavaliers,119,Box Score,,20562,2:04,Quicken Loans Arena,
"Tue, Oct 24, 2017",7:00p,Brooklyn Nets,121,Orlando Magic,125,Box Score,,16015,3:07,Amway Center,
"Tue, Oct 24, 2017",7:30p,New York Knicks,89,Boston Celtics,110,Box Score,,18624,2:06,TD Garden,
"Tue, Oct 24, 2017",8:00p,Indiana Pacers,130,Minnesota Timberwolves,107,Box Score,,14353,2:06,Target Center,
"Tue, Oct 24, 2017",10:00p,New Orleans Pelicans,93,Portland Trail Blazers,103,Box Score,,19446,2:15,Moda Center,
"Tue, Oct 24, 2017",10:30p,Utah Jazz,84,Los Angeles Clippers,102,Box Score,,16607,2:02,STAPLES Center,
"Wed, Oct 25, 2017",7:00p,Denver Nuggets,93,Charlotte Hornets,110,Box Score,,14253,2:09,Spectrum Center,
"Wed, Oct 25, 2017",7:00p,Minnesota Timberwolves,101,Detroit Pistons,122,Box Score,,13790,2:05,Little Caesars Arena,
"Wed, Oct 25, 2017",7:00p,Houston Rockets,105,Philadelphia 76ers,104,Box Score,,20682,2:09,Wells Fargo Center,
"Wed, Oct 25, 2017",7:30p,Cleveland Cavaliers,107,Brooklyn Nets,112,Box Score,,17732,2:27,Barclays Center,
"Wed, Oct 25, 2017",8:00p,San Antonio Spurs,117,Miami Heat,100,Box Score,,19600,2:16,AmericanAirlines Arena,
"Wed, Oct 25, 2017",8:00p,Indiana Pacers,96,Oklahoma City Thunder,114,Box Score,,18203,2:18,Chesapeake Energy Arena,
"Wed, Oct 25, 2017",8:30p,Memphis Grizzlies,94,Dallas Mavericks,103,Box Score,,19674,2:15,American Airlines Center,
"Wed, Oct 25, 2017",10:00p,Utah Jazz,88,Phoenix Suns,97,Box Score,,16022,2:09,Talking Stick Resort Arena,
"Wed, Oct 25, 2017",10:30p,Toronto Raptors,112,Golden State Warriors,117,Box Score,,19596,2:14,Oracle Arena,
"Wed, Oct 25, 2017",10:30p,Washington Wizards,99,Los Angeles Lakers,102,Box Score,OT,18996,2:38,STAPLES Center,
"Thu, Oct 26, 2017",8:00p,Atlanta Hawks,86,Chicago Bulls,91,Box Score,,21104,2:06,United Center,
"Thu, Oct 26, 2017",8:00p,Dallas Mavericks,91,Memphis Grizzlies,96,Box Score,,15839,2:16,FedEx Forum,
"Thu, Oct 26, 2017",8:00p,Boston Celtics,96,Milwaukee Bucks,89,Box Score,,11046,2:13,UWâMilwaukee Panther Arena,
"Thu, Oct 26, 2017",10:00p,Los Angeles Clippers,104,Portland Trail Blazers,103,Box Score,,18694,2:22,Moda Center,
"Thu, Oct 26, 2017",10:30p,New Orleans Pelicans,114,Sacramento Kings,106,Box Score,,17583,2:23,Golden 1 Center,
"Fri, Oct 27, 2017",7:00p,Houston Rockets,109,Charlotte Hornets,93,Box Score,,17339,2:10,Spectrum Center,
"Fri, Oct 27, 2017",7:00p,San Antonio Spurs,87,Orlando Magic,114,Box Score,,17337,2:03,Amway Center,
"Fri, Oct 27, 2017",7:30p,Denver Nuggets,105,Atlanta Hawks,100,Box Score,,16220,2:13,Philips Arena,
"Fri, Oct 27, 2017",7:30p,Brooklyn Nets,86,New York Knicks,107,Box Score,,19812,2:05,Madison Square Garden (IV),
"Fri, Oct 27, 2017",8:00p,Oklahoma City Thunder,116,Minnesota Timberwolves,119,Box Score,,17620,2:25,Target Center,
"Fri, Oct 27, 2017",10:30p,Washington Wizards,117,Golden State Warriors,120,Box Score,,19596,2:24,Oracle Arena,
"Fri, Oct 27, 2017",10:30p,Toronto Raptors,101,Los Angeles Lakers,92,Box Score,,17876,2:14,STAPLES Center,
"Sat, Oct 28, 2017",7:00p,Cleveland Cavaliers,101,New Orleans Pelicans,123,Box Score,,18539,2:09,Smoothie King Center,
"Sat, Oct 28, 2017",8:00p,Oklahoma City Thunder,101,Chicago Bulls,69,Box Score,,21706,1:56,United Center,
"Sat, Oct 28, 2017",8:00p,Houston Rockets,89,Memphis Grizzlies,103,Box Score,,17033,2:00,FedEx Forum,
"Sat, Oct 28, 2017",8:00p,Boston Celtics,96,Miami Heat,90,Box Score,,19600,2:12,AmericanAirlines Arena,
"Sat, Oct 28, 2017",8:30p,Philadelphia 76ers,112,Dallas Mavericks,110,Box Score,,19567,2:09,American Airlines Center,
"Sat, Oct 28, 2017",9:00p,Los Angeles Lakers,81,Utah Jazz,96,Box Score,,18306,2:12,Vivint Smart Home Arena,
"Sat, Oct 28, 2017",10:00p,Phoenix Suns,107,Portland Trail Blazers,114,Box Score,,19343,2:09,Moda Center,
"Sat, Oct 28, 2017",10:30p,Detroit Pistons,95,Los Angeles Clippers,87,Box Score,,17247,2:13,STAPLES Center,
"Sun, Oct 29, 2017",3:30p,Milwaukee Bucks,117,Atlanta Hawks,106,Box Score,,14014,2:08,Philips Arena,
"Sun, Oct 29, 2017",4:30p,San Antonio Spurs,94,Indiana Pacers,97,Box Score,,15013,2:13,Bankers Life Fieldhouse,
"Sun, Oct 29, 2017",6:00p,Denver Nuggets,124,Brooklyn Nets,111,Box Score,,14854,2:09,Barclays Center,
"Sun, Oct 29, 2017",6:00p,Orlando Magic,113,Charlotte Hornets,120,Box Score,,15531,2:11,Spectrum Center,
"Sun, Oct 29, 2017",6:00p,Washington Wizards,110,Sacramento Kings,83,Box Score,,17583,1:59,Golden 1 Center,
"Sun, Oct 29, 2017",7:00p,New York Knicks,114,Cleveland Cavaliers,95,Box Score,,20562,2:14,Quicken Loans Arena,
"Sun, Oct 29, 2017",8:30p,Detroit Pistons,115,Golden State Warriors,107,Box Score,,19596,2:09,Oracle Arena,
"Mon, Oct 30, 2017",7:30p,San Antonio Spurs,94,Boston Celtics,108,Box Score,,18624,2:07,TD Garden,
"Mon, Oct 30, 2017",7:30p,Minnesota Timberwolves,125,Miami Heat,122,Box Score,OT,19600,2:44,AmericanAirlines Arena,
"Mon, Oct 30, 2017",7:30p,Denver Nuggets,110,New York Knicks,116,Box Score,,19812,2:20,Madison Square Garden (IV),
"Mon, Oct 30, 2017",8:00p,Philadelphia 76ers,115,Houston Rockets,107,Box Score,,16714,2:21,Toyota Center,
"Mon, Oct 30, 2017",8:00p,Charlotte Hornets,104,Memphis Grizzlies,99,Box Score,,15771,2:14,FedEx Forum,
"Mon, Oct 30, 2017",8:00p,Orlando Magic,115,New Orleans Pelicans,99,Box Score,,14004,2:05,Smoothie King Center,
"Mon, Oct 30, 2017",9:00p,Dallas Mavericks,89,Utah Jazz,104,Box Score,,16221,2:04,Vivint Smart Home Arena,
"Mon, Oct 30, 2017",10:00p,Toronto Raptors,99,Portland Trail Blazers,85,Box Score,,18505,2:02,Moda Center,
"Mon, Oct 30, 2017",10:30p,Golden State Warriors,141,Los Angeles Clippers,113,Box Score,,19068,2:11,STAPLES Center,
"Tue, Oct 31, 2017",7:00p,Sacramento Kings,83,Indiana Pacers,101,Box Score,,12245,2:02,Bankers Life Fieldhouse,
"Tue, Oct 31, 2017",7:30p,Phoenix Suns,122,Brooklyn Nets,114,Box Score,,12936,2:18,Barclays Center,
"Tue, Oct 31, 2017",8:00p,Oklahoma City Thunder,110,Milwaukee Bucks,91,Box Score,,16713,2:09,BMO Harris Bradley Center,
"Tue, Oct 31, 2017",10:30p,Detroit Pistons,93,Los Angeles Lakers,113,Box Score,,17569,1:53,STAPLES Center,
"Wed, Nov 1, 2017",7:00p,Milwaukee Bucks,121,Charlotte Hornets,126,Box Score,,15655,2:12,Spectrum Center,
"Wed, Nov 1, 2017",7:00p,Indiana Pacers,124,Cleveland Cavaliers,107,Box Score,,20562,2:10,Quicken Loans Arena,
"Wed, Nov 1, 2017",7:00p,Atlanta Hawks,109,Philadelphia 76ers,119,Box Score,,20549,2:20,Wells Fargo Center,
"Wed, Nov 1, 2017",7:00p,Phoenix Suns,122,Washington Wizards,116,Box Score,,14790,2:16,Capital One Arena,
"Wed, Nov 1, 2017",7:30p,Sacramento Kings,86,Boston Celtics,113,Box Score,,18624,1:58,TD Garden,
"Wed, Nov 1, 2017",7:30p,Chicago Bulls,91,Miami Heat,97,Box Score,,19600,2:05,AmericanAirlines Arena,
"Wed, Nov 1, 2017",8:00p,Orlando Magic,101,Memphis Grizzlies,99,Box Score,,15434,2:14,FedEx Forum,
"Wed, Nov 1, 2017",8:00p,Minnesota Timberwolves,104,New Orleans Pelicans,98,Box Score,,14788,2:14,Smoothie King Center,
"Wed, Nov 1, 2017",8:00p,Houston Rockets,119,New York Knicks,97,Box Score,,18320,2:07,Madison Square Garden (IV),
"Wed, Nov 1, 2017",9:00p,Toronto Raptors,111,Denver Nuggets,129,Box Score,,14072,2:08,Pepsi Center,
"Wed, Nov 1, 2017",9:00p,Portland Trail Blazers,103,Utah Jazz,112,Box Score,OT,16685,2:34,Vivint Smart Home Arena,
"Wed, Nov 1, 2017",10:30p,Dallas Mavericks,98,Los Angeles Clippers,119,Box Score,,13487,2:15,STAPLES Center,
"Thu, Nov 2, 2017",8:00p,Golden State Warriors,112,San Antonio Spurs,92,Box Score,,18418,2:14,AT&T Center,
"Thu, Nov 2, 2017",10:30p,Los Angeles Lakers,110,Portland Trail Blazers,113,Box Score,,19469,2:23,Moda Center,
"Fri, Nov 3, 2017",7:00p,Milwaukee Bucks,96,Detroit Pistons,105,Box Score,,17207,2:15,Little Caesars Arena,
"Fri, Nov 3, 2017",7:00p,Chicago Bulls,105,Orlando Magic,83,Box Score,,19171,1:53,Amway Center,
"Fri, Nov 3, 2017",7:00p,Indiana Pacers,110,Philadelphia 76ers,121,Box Score,,20668,2:17,Wells Fargo Center,
"Fri, Nov 3, 2017",7:00p,Cleveland Cavaliers,130,Washington Wizards,122,Box Score,,20356,2:33,Capital One Arena,
"Fri, Nov 3, 2017",7:30p,Houston Rockets,119,Atlanta Hawks,104,Box Score,,14087,2:01,Philips Arena,
"Fri, Nov 3, 2017",7:30p,Phoenix Suns,107,New York Knicks,120,Box Score,,19404,2:15,Madison Square Garden (IV),
"Fri, Nov 3, 2017",8:30p,New Orleans Pelicans,99,Dallas Mavericks,94,Box Score,,19894,2:24,American Airlines Center,
"Fri, Nov 3, 2017",8:30p,Charlotte Hornets,101,San Antonio Spurs,108,Box Score,,18418,2:16,AT&T Center,
"Fri, Nov 3, 2017",9:00p,Miami Heat,94,Denver Nuggets,95,Box Score,,15317,2:15,Pepsi Center,
"Fri, Nov 3, 2017",9:00p,Toronto Raptors,109,Utah Jazz,100,Box Score,,16258,2:18,Vivint Smart Home Arena,
"Fri, Nov 3, 2017",9:30p,Boston Celtics,101,Oklahoma City Thunder,94,Box Score,,18203,2:21,Chesapeake Energy Arena,
"Fri, Nov 3, 2017",10:30p,Brooklyn Nets,112,Los Angeles Lakers,124,Box Score,,18997,2:21,STAPLES Center,
"Sat, Nov 4, 2017",3:30p,Memphis Grizzlies,113,Los Angeles Clippers,104,Box Score,,14777,2:17,STAPLES Center,
"Sat, Nov 4, 2017",7:00p,Sacramento Kings,99,Detroit Pistons,108,Box Score,,17683,2:04,Little Caesars Arena,
"Sat, Nov 4, 2017",8:00p,New Orleans Pelicans,96,Chicago Bulls,90,Box Score,OT,21254,2:15,United Center,
"Sat, Nov 4, 2017",8:00p,Dallas Mavericks,99,Minnesota Timberwolves,112,Box Score,,16837,2:05,Target Center,
"Sat, Nov 4, 2017",9:00p,Golden State Warriors,127,Denver Nuggets,108,Box Score,,19711,2:05,Pepsi Center,
"Sun, Nov 5, 2017",3:00p,Atlanta Hawks,117,Cleveland Cavaliers,115,Box Score,,20562,2:31,Quicken Loans Arena,
"Sun, Nov 5, 2017",3:30p,Miami Heat,104,Los Angeles Clippers,101,Box Score,,15676,2:22,STAPLES Center,
"Sun, Nov 5, 2017",6:00p,Boston Celtics,104,Orlando Magic,88,Box Score,,17731,2:06,Amway Center,
"Sun, Nov 5, 2017",6:00p,Washington Wizards,107,Toronto Raptors,96,Box Score,,19800,2:16,Air Canada Centre,
"Sun, Nov 5, 2017",7:00p,Utah Jazz,110,Houston Rockets,137,Box Score,,16914,2:06,Toyota Center,
"Sun, Nov 5, 2017",7:00p,Phoenix Suns,95,San Antonio Spurs,112,Box Score,,18038,2:00,AT&T Center,
"Sun, Nov 5, 2017",7:30p,Indiana Pacers,101,New York Knicks,108,Box Score,,17889,2:10,Madison Square Garden (IV),
"Sun, Nov 5, 2017",8:00p,Charlotte Hornets,94,Minnesota Timberwolves,112,Box Score,,14124,2:06,Target Center,
"Sun, Nov 5, 2017",9:00p,Oklahoma City Thunder,99,Portland Trail Blazers,103,Box Score,,19393,2:25,Moda Center,
"Sun, Nov 5, 2017",9:30p,Memphis Grizzlies,102,Los Angeles Lakers,107,Box Score,,18997,2:13,STAPLES Center,
"Mon, Nov 6, 2017",7:30p,Boston Celtics,110,Atlanta Hawks,107,Box Score,,13215,2:15,Philips Arena,
"Mon, Nov 6, 2017",9:00p,Brooklyn Nets,98,Phoenix Suns,92,Box Score,,15905,2:23,Talking Stick Resort Arena,
"Mon, Nov 6, 2017",10:30p,Miami Heat,80,Golden State Warriors,97,Box Score,,19596,2:12,Oracle Arena,
"Tue, Nov 7, 2017",7:00p,Milwaukee Bucks,119,Cleveland Cavaliers,124,Box Score,,20562,2:20,Quicken Loans Arena,
"Tue, Nov 7, 2017",7:00p,New Orleans Pelicans,117,Indiana Pacers,112,Box Score,,15014,2:12,Bankers Life Fieldhouse,
"Tue, Nov 7, 2017",7:00p,Dallas Mavericks,113,Washington Wizards,99,Box Score,,14505,2:09,Capital One Arena,
"Tue, Nov 7, 2017",7:30p,Charlotte Hornets,113,New York Knicks,118,Box Score,,18704,2:15,Madison Square Garden (IV),
"Tue, Nov 7, 2017",7:30p,Chicago Bulls,114,Toronto Raptors,119,Box Score,,19800,2:16,Air Canada Centre,
"Tue, Nov 7, 2017",8:30p,Los Angeles Clippers,107,San Antonio Spurs,120,Box Score,,18418,2:09,AT&T Center,
"Tue, Nov 7, 2017",9:00p,Brooklyn Nets,104,Denver Nuggets,112,Box Score,,14058,2:04,Pepsi Center,
"Tue, Nov 7, 2017",9:00p,Philadelphia 76ers,104,Utah Jazz,97,Box Score,,16063,2:28,Vivint Smart Home Arena,
"Tue, Nov 7, 2017",10:00p,Memphis Grizzlies,98,Portland Trail Blazers,97,Box Score,,18692,2:15,Moda Center,
"Tue, Nov 7, 2017",10:00p,Oklahoma City Thunder,86,Sacramento Kings,94,Box Score,,17583,2:13,Golden 1 Center,
"Wed, Nov 8, 2017",7:00p,Indiana Pacers,97,Detroit Pistons,114,Box Score,,14407,2:12,Little Caesars Arena,
"Wed, Nov 8, 2017",7:00p,New York Knicks,99,Orlando Magic,112,Box Score,,18803,2:07,Amway Center,
"Wed, Nov 8, 2017",8:00p,Los Angeles Lakers,96,Boston Celtics,107,Box Score,,18624,2:15,TD Garden,
"Wed, Nov 8, 2017",9:00p,Miami Heat,126,Phoenix Suns,115,Box Score,,16500,2:17,Talking Stick Resort Arena,
"Wed, Nov 8, 2017",10:30p,Minnesota Timberwolves,101,Golden State Warriors,125,Box Score,,19596,2:09,Oracle Arena,
"Thu, Nov 9, 2017",7:00p,Los Angeles Lakers,95,Washington Wizards,111,Box Score,,20356,2:17,Capital One Arena,
"Thu, Nov 9, 2017",7:30p,New Orleans Pelicans,118,Toronto Raptors,122,Box Score,,19800,2:16,Air Canada Centre,
"Thu, Nov 9, 2017",8:00p,Cleveland Cavaliers,113,Houston Rockets,117,Box Score,,18055,2:25,Toyota Center,
"Thu, Nov 9, 2017",10:00p,Philadelphia 76ers,108,Sacramento Kings,109,Box Score,,17583,2:17,Golden 1 Center,
"Thu, Nov 9, 2017",10:30p,Oklahoma City Thunder,94,Denver Nuggets,102,Box Score,,19520,2:19,Pepsi Center,
"Fri, Nov 10, 2017",7:00p,Atlanta Hawks,104,Detroit Pistons,111,Box Score,,16687,2:10,Little Caesars Arena,
"Fri, Nov 10, 2017",7:30p,Charlotte Hornets,87,Boston Celtics,90,Box Score,,18624,2:24,TD Garden,
"Fri, Nov 10, 2017",8:00p,Indiana Pacers,105,Chicago Bulls,87,Box Score,,22416,1:55,United Center,
"Fri, Nov 10, 2017",9:00p,Los Angeles Clippers,111,Oklahoma City Thunder,120,Box Score,,18203,2:26,Chesapeake Energy Arena,
"Fri, Nov 10, 2017",9:00p,Orlando Magic,128,Phoenix Suns,112,Box Score,,16507,2:13,Talking Stick Resort Arena,
"Fri, Nov 10, 2017",9:00p,Milwaukee Bucks,94,San Antonio Spurs,87,Box Score,,18418,2:15,AT&T Center,
"Fri, Nov 10, 2017",9:00p,Miami Heat,84,Utah Jazz,74,Box Score,,18306,2:11,Vivint Smart Home Arena,
"Fri, Nov 10, 2017",10:00p,Brooklyn Nets,101,Portland Trail Blazers,97,Box Score,,19393,2:05,Moda Center,
"Sat, Nov 11, 2017",7:00p,Los Angeles Clippers,103,New Orleans Pelicans,111,Box Score,,17624,2:14,Smoothie King Center,
"Sat, Nov 11, 2017",7:00p,Atlanta Hawks,94,Washington Wizards,113,Box Score,,17260,2:09,Capital One Arena,
"Sat, Nov 11, 2017",8:00p,Memphis Grizzlies,96,Houston Rockets,111,Box Score,,18055,2:04,Toyota Center,
"Sat, Nov 11, 2017",8:00p,Sacramento Kings,91,New York Knicks,118,Box Score,,19812,2:05,Madison Square Garden (IV),
"Sat, Nov 11, 2017",8:30p,Cleveland Cavaliers,111,Dallas Mavericks,104,Box Score,,20378,2:15,American Airlines Center,
"Sat, Nov 11, 2017",8:30p,Philadelphia 76ers,114,Golden State Warriors,135,Box Score,,19596,2:14,Oracle Arena,
"Sat, Nov 11, 2017",8:30p,Los Angeles Lakers,90,Milwaukee Bucks,98,Box Score,,18717,2:13,BMO Harris Bradley Center,
"Sat, Nov 11, 2017",8:30p,Chicago Bulls,94,San Antonio Spurs,133,Box Score,,18418,1:59,AT&T Center,
"Sat, Nov 11, 2017",9:00p,Orlando Magic,107,Denver Nuggets,125,Box Score,,16688,2:03,Pepsi Center,
"Sat, Nov 11, 2017",9:00p,Minnesota Timberwolves,110,Phoenix Suns,118,Box Score,,16910,2:15,Talking Stick Resort Arena,
"Sat, Nov 11, 2017",9:00p,Brooklyn Nets,106,Utah Jazz,114,Box Score,,17413,2:24,Vivint Smart Home Arena,
"Sun, Nov 12, 2017",3:30p,Toronto Raptors,94,Boston Celtics,95,Box Score,,18624,2:14,TD Garden,
"Sun, Nov 12, 2017",4:00p,Miami Heat,103,Detroit Pistons,112,Box Score,,16236,2:06,Little Caesars Arena,
"Sun, Nov 12, 2017",6:00p,Houston Rockets,118,Indiana Pacers,95,Box Score,,15581,2:02,Bankers Life Fieldhouse,
"Sun, Nov 12, 2017",7:00p,Dallas Mavericks,99,Oklahoma City Thunder,112,Box Score,,18203,2:15,Chesapeake Energy Arena,
"Mon, Nov 13, 2017",7:00p,Sacramento Kings,92,Washington Wizards,110,Box Score,,14660,1:58,Capital One Arena,
"Mon, Nov 13, 2017",7:30p,Cleveland Cavaliers,104,New York Knicks,101,Box Score,,19812,2:21,Madison Square Garden (IV),
"Mon, Nov 13, 2017",8:00p,Memphis Grizzlies,103,Milwaukee Bucks,110,Box Score,,13244,2:12,BMO Harris Bradley Center,
"Mon, Nov 13, 2017",8:00p,Atlanta Hawks,105,New Orleans Pelicans,106,Box Score,,14631,2:07,Smoothie King Center,
"Mon, Nov 13, 2017",9:00p,Los Angeles Lakers,100,Phoenix Suns,93,Box Score,,17533,2:09,Talking Stick Resort Arena,
"Mon, Nov 13, 2017",9:00p,Minnesota Timberwolves,109,Utah Jazz,98,Box Score,,17236,2:02,Vivint Smart Home Arena,
"Mon, Nov 13, 2017",10:00p,Denver Nuggets,82,Portland Trail Blazers,99,Box Score,,18895,2:03,Moda Center,
"Mon, Nov 13, 2017",10:30p,Orlando Magic,100,Golden State Warriors,110,Box Score,,19596,2:04,Oracle Arena,
"Mon, Nov 13, 2017",10:30p,Philadelphia 76ers,109,Los Angeles Clippers,105,Box Score,,19068,2:27,STAPLES Center,
"Tue, Nov 14, 2017",7:30p,Boston Celtics,109,Brooklyn Nets,102,Box Score,,17732,2:10,Barclays Center,
"Tue, Nov 14, 2017",8:00p,Toronto Raptors,129,Houston Rockets,113,Box Score,,18055,2:23,Toyota Center,
"Tue, Nov 14, 2017",8:30p,San Antonio Spurs,97,Dallas Mavericks,91,Box Score,,19535,2:11,American Airlines Center,
"Wed, Nov 15, 2017",7:30p,Sacramento Kings,80,Atlanta Hawks,126,Box Score,,13860,2:04,Philips Arena,
"Wed, Nov 15, 2017",7:30p,Washington Wizards,102,Miami Heat,93,Box Score,,19600,2:11,AmericanAirlines Arena,
"Wed, Nov 15, 2017",7:30p,Utah Jazz,101,New York Knicks,106,Box Score,,18695,2:15,Madison Square Garden (IV),
"Wed, Nov 15, 2017",8:00p,Cleveland Cavaliers,115,Charlotte Hornets,107,Box Score,,19427,2:15,Spectrum Center,
"Wed, Nov 15, 2017",8:00p,Indiana Pacers,116,Memphis Grizzlies,113,Box Score,,16033,2:19,FedEx Forum,
