Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,LOG,Arena,Notes
"Sat, Nov 1, 2014",7:30p,Brooklyn Nets,102,Detroit Pistons,90,Box Score,,19904,2:08,The Palace of Auburn Hills,
"Sat, Nov 1, 2014",8:00p,Boston Celtics,90,Houston Rockets,104,Box Score,,18309,2:10,Toyota Center,
"Sat, Nov 1, 2014",8:00p,Chicago Bulls,106,Minnesota Timberwolves,105,Box Score,,19356,2:26,Target Center,
"Sat, Nov 1, 2014",8:00p,Denver Nuggets,91,Oklahoma City Thunder,102,Box Score,,18203,2:22,Chesapeake Energy Arena,
"Sat, Nov 1, 2014",9:00p,Phoenix Suns,91,Utah Jazz,118,Box Score,,17721,2:06,EnergySolutions Arena,
"Sat, Nov 1, 2014",10:30p,Los Angeles Lakers,104,Golden State Warriors,127,Box Score,,19596,2:19,Oracle Arena,
"Sun, Nov 2, 2014",3:30p,Sacramento Kings,98,Los Angeles Clippers,92,Box Score,,19060,2:32,STAPLES Center,
"Sun, Nov 2, 2014",6:00p,Toronto Raptors,102,Miami Heat,107,Box Score,,19666,2:37,AmericanAirlines Arena,
"Sun, Nov 2, 2014",7:30p,Charlotte Hornets,93,New York Knicks,96,Box Score,,19812,2:20,Madison Square Garden (IV),
"Sun, Nov 2, 2014",9:00p,Golden State Warriors,95,Portland Trail Blazers,90,Box Score,,19441,2:15,Moda Center,
"Mon, Nov 3, 2014",7:00p,Houston Rockets,104,Philadelphia 76ers,93,Box Score,,12896,2:13,Wells Fargo Center,
"Mon, Nov 3, 2014",7:30p,Oklahoma City Thunder,85,Brooklyn Nets,116,Box Score,,17732,2:10,Barclays Center,
"Mon, Nov 3, 2014",8:00p,New Orleans Pelicans,81,Memphis Grizzlies,93,Box Score,,15302,2:19,FedEx Forum,
"Mon, Nov 3, 2014",8:30p,Boston Celtics,113,Dallas Mavericks,118,Box Score,,19948,2:21,American Airlines Center,
"Mon, Nov 3, 2014",9:00p,Sacramento Kings,110,Denver Nuggets,105,Box Score,,12516,2:37,Pepsi Center,
"Mon, Nov 3, 2014",10:30p,Utah Jazz,101,Los Angeles Clippers,107,Box Score,,19060,2:10,STAPLES Center,
"Tue, Nov 4, 2014",7:00p,Milwaukee Bucks,87,Indiana Pacers,81,Box Score,,15012,2:13,Bankers Life Fieldhouse,
"Tue, Nov 4, 2014",7:30p,Houston Rockets,108,Miami Heat,91,Box Score,,19666,2:24,AmericanAirlines Arena,
"Tue, Nov 4, 2014",7:30p,Washington Wizards,98,New York Knicks,83,Box Score,,19812,2:11,Madison Square Garden (IV),
"Tue, Nov 4, 2014",7:30p,Oklahoma City Thunder,88,Toronto Raptors,100,Box Score,,18877,2:24,Air Canada Centre,
"Tue, Nov 4, 2014",8:00p,Orlando Magic,90,Chicago Bulls,98,Box Score,,21809,2:12,United Center,
"Tue, Nov 4, 2014",8:00p,Charlotte Hornets,91,New Orleans Pelicans,100,Box Score,,14840,2:01,Smoothie King Center,
"Tue, Nov 4, 2014",10:00p,Cleveland Cavaliers,82,Portland Trail Blazers,101,Box Score,,19441,2:10,Moda Center,
"Tue, Nov 4, 2014",10:30p,Phoenix Suns,112,Los Angeles Lakers,106,Box Score,,18997,2:21,STAPLES Center,
"Wed, Nov 5, 2014",7:00p,Miami Heat,89,Charlotte Hornets,96,Box Score,,15874,2:24,Time Warner Cable Arena,
"Wed, Nov 5, 2014",7:00p,Orlando Magic,91,Philadelphia 76ers,89,Box Score,,12111,2:37,Wells Fargo Center,
"Wed, Nov 5, 2014",7:30p,Toronto Raptors,110,Boston Celtics,107,Box Score,,16249,2:09,TD Garden,
"Wed, Nov 5, 2014",7:30p,Minnesota Timberwolves,98,Brooklyn Nets,91,Box Score,,16302,2:07,Barclays Center,
"Wed, Nov 5, 2014",7:30p,New York Knicks,95,Detroit Pistons,98,Box Score,,11915,2:20,The Palace of Auburn Hills,
"Wed, Nov 5, 2014",8:00p,Chicago Bulls,95,Milwaukee Bucks,86,Box Score,,13098,2:16,BMO Harris Bradley Center,
"Wed, Nov 5, 2014",8:00p,Indiana Pacers,94,Washington Wizards,96,Box Score,OT,15268,2:40,Verizon Center,
"Wed, Nov 5, 2014",8:30p,Atlanta Hawks,92,San Antonio Spurs,94,Box Score,,18581,2:16,AT&T Center,
"Wed, Nov 5, 2014",9:00p,Memphis Grizzlies,102,Phoenix Suns,91,Box Score,,15377,2:10,US Airways Center,
"Wed, Nov 5, 2014",9:00p,Cleveland Cavaliers,100,Utah Jazz,102,Box Score,,19911,2:16,EnergySolutions Arena,
"Wed, Nov 5, 2014",10:00p,Denver Nuggets,109,Sacramento Kings,131,Box Score,,14539,2:27,Sleep Train Arena,
"Wed, Nov 5, 2014",10:30p,Los Angeles Clippers,104,Golden State Warriors,121,Box Score,,19596,2:12,Oracle Arena,
"Thu, Nov 6, 2014",8:00p,San Antonio Spurs,81,Houston Rockets,98,Box Score,,18311,2:18,Toyota Center,
"Thu, Nov 6, 2014",10:30p,Dallas Mavericks,87,Portland Trail Blazers,108,Box Score,,19441,2:21,Moda Center,
"Fri, Nov 7, 2014",7:00p,Atlanta Hawks,119,Charlotte Hornets,122,Box Score,2OT,15891,3:01,Time Warner Cable Arena,
"Fri, Nov 7, 2014",7:00p,Minnesota Timberwolves,103,Orlando Magic,112,Box Score,OT,16379,2:35,Amway Center,
"Fri, Nov 7, 2014",7:00p,Chicago Bulls,118,Philadelphia 76ers,115,Box Score,,16820,2:24,Wells Fargo Center,
"Fri, Nov 7, 2014",7:30p,Indiana Pacers,98,Boston Celtics,101,Box Score,,17122,2:12,TD Garden,
"Fri, Nov 7, 2014",7:30p,New York Knicks,99,Brooklyn Nets,110,Box Score,,17732,2:14,Barclays Center,
"Fri, Nov 7, 2014",7:30p,Milwaukee Bucks,95,Detroit Pistons,98,Box Score,,16102,2:16,The Palace of Auburn Hills,
"Fri, Nov 7, 2014",7:30p,Washington Wizards,84,Toronto Raptors,103,Box Score,,19800,2:16,Air Canada Centre,
"Fri, Nov 7, 2014",8:00p,Memphis Grizzlies,91,Oklahoma City Thunder,89,Box Score,,18203,2:24,Chesapeake Energy Arena,
"Fri, Nov 7, 2014",9:00p,Sacramento Kings,114,Phoenix Suns,112,Box Score,2OT,15476,2:48,US Airways Center,
"Fri, Nov 7, 2014",9:00p,Dallas Mavericks,105,Utah Jazz,82,Box Score,,18419,2:06,EnergySolutions Arena,
"Fri, Nov 7, 2014",10:30p,Cleveland Cavaliers,110,Denver Nuggets,101,Box Score,,19623,2:21,Pepsi Center,
"Sat, Nov 8, 2014",3:30p,Portland Trail Blazers,102,Los Angeles Clippers,106,Box Score,,19060,2:21,STAPLES Center,
"Sat, Nov 8, 2014",7:00p,Washington Wizards,97,Indiana Pacers,90,Box Score,,17302,2:09,Bankers Life Fieldhouse,
"Sat, Nov 8, 2014",7:30p,New York Knicks,96,Atlanta Hawks,103,Box Score,,17521,2:21,Philips Arena,
"Sat, Nov 8, 2014",7:30p,Minnesota Timberwolves,92,Miami Heat,102,Box Score,,19735,2:06,AmericanAirlines Arena,
"Sat, Nov 8, 2014",8:00p,Boston Celtics,106,Chicago Bulls,101,Box Score,,22104,2:07,United Center,
"Sat, Nov 8, 2014",8:00p,Golden State Warriors,98,Houston Rockets,87,Box Score,,18312,2:14,Toyota Center,
"Sat, Nov 8, 2014",8:30p,Memphis Grizzlies,92,Milwaukee Bucks,93,Box Score,,13841,2:21,BMO Harris Bradley Center,
"Sat, Nov 8, 2014",8:30p,New Orleans Pelicans,100,San Antonio Spurs,99,Box Score,,18581,2:09,AT&T Center,
"Sun, Nov 9, 2014",3:30p,Orlando Magic,96,Brooklyn Nets,104,Box Score,,16127,2:03,Barclays Center,
"Sun, Nov 9, 2014",6:00p,Utah Jazz,97,Detroit Pistons,96,Box Score,,12888,2:08,The Palace of Auburn Hills,
"Sun, Nov 9, 2014",7:00p,Sacramento Kings,93,Oklahoma City Thunder,101,Box Score,,18203,2:23,Chesapeake Energy Arena,
"Sun, Nov 9, 2014",7:00p,Philadelphia 76ers,88,Toronto Raptors,120,Box Score,,18470,2:10,Air Canada Centre,
"Sun, Nov 9, 2014",7:30p,Miami Heat,105,Dallas Mavericks,96,Box Score,,20195,2:23,American Airlines Center,
"Sun, Nov 9, 2014",8:00p,Golden State Warriors,95,Phoenix Suns,107,Box Score,,16046,2:21,US Airways Center,
"Sun, Nov 9, 2014",9:00p,Denver Nuggets,100,Portland Trail Blazers,116,Box Score,,16046,2:10,Moda Center,
"Sun, Nov 9, 2014",9:30p,Charlotte Hornets,92,Los Angeles Lakers,107,Box Score,,18997,2:07,STAPLES Center,
"Mon, Nov 10, 2014",7:00p,New Orleans Pelicans,111,Cleveland Cavaliers,118,Box Score,,20562,2:10,Quicken Loans Arena,
"Mon, Nov 10, 2014",7:00p,Utah Jazz,86,Indiana Pacers,97,Box Score,,12513,2:13,Bankers Life Fieldhouse,
"Mon, Nov 10, 2014",7:30p,Atlanta Hawks,91,New York Knicks,85,Box Score,,19812,2:25,Madison Square Garden (IV),
"Mon, Nov 10, 2014",8:00p,Detroit Pistons,91,Chicago Bulls,102,Box Score,,21431,2:09,United Center,
"Mon, Nov 10, 2014",10:30p,San Antonio Spurs,89,Los Angeles Clippers,85,Box Score,,19313,2:23,STAPLES Center,
"Tue, Nov 11, 2014",7:30p,Orlando Magic,100,Toronto Raptors,104,Box Score,,19800,2:18,Air Canada Centre,
"Tue, Nov 11, 2014",8:00p,Los Angeles Lakers,102,Memphis Grizzlies,107,Box Score,,17618,2:11,FedEx Forum,
"Tue, Nov 11, 2014",8:00p,Oklahoma City Thunder,78,Milwaukee Bucks,85,Box Score,,12390,2:19,BMO Harris Bradley Center,
"Tue, Nov 11, 2014",8:30p,Sacramento Kings,98,Dallas Mavericks,106,Box Score,,19663,2:31,American Airlines Center,
"Tue, Nov 11, 2014",10:00p,Charlotte Hornets,100,Portland Trail Blazers,102,Box Score,,18495,2:08,Moda Center,
"Tue, Nov 11, 2014",10:30p,San Antonio Spurs,113,Golden State Warriors,100,Box Score,,19596,2:08,Oracle Arena,
"Wed, Nov 12, 2014",7:00p,Detroit Pistons,103,Washington Wizards,107,Box Score,,14708,2:23,Verizon Center,
"Wed, Nov 12, 2014",7:30p,Utah Jazz,97,Atlanta Hawks,100,Box Score,,12595,2:03,Philips Arena,
"Wed, Nov 12, 2014",7:30p,Oklahoma City Thunder,109,Boston Celtics,94,Box Score,,17043,2:01,TD Garden,
"Wed, Nov 12, 2014",7:30p,Indiana Pacers,81,Miami Heat,75,Box Score,,19658,2:14,AmericanAirlines Arena,
"Wed, Nov 12, 2014",7:30p,Orlando Magic,97,New York Knicks,95,Box Score,,19812,2:24,Madison Square Garden (IV),
"Wed, Nov 12, 2014",8:00p,Los Angeles Lakers,102,New Orleans Pelicans,109,Box Score,,17359,2:07,Smoothie King Center,
"Wed, Nov 12, 2014",9:00p,Portland Trail Blazers,130,Denver Nuggets,113,Box Score,,12611,2:12,Pepsi Center,
"Wed, Nov 12, 2014",9:00p,Brooklyn Nets,104,Phoenix Suns,112,Box Score,,15184,2:22,US Airways Center,
"Wed, Nov 12, 2014",10:00p,Houston Rockets,113,Minnesota Timberwolves,101,Box Score,,18996,2:18,Mexico City Arena,"at Mexico City, Mexico"
"Thu, Nov 13, 2014",8:00p,Sacramento Kings,110,Memphis Grizzlies,111,Box Score,,15666,2:28,FedEx Forum,
"Thu, Nov 13, 2014",8:00p,Chicago Bulls,100,Toronto Raptors,93,Box Score,,19800,2:31,Air Canada Centre,
"Thu, Nov 13, 2014",8:30p,Philadelphia 76ers,70,Dallas Mavericks,123,Box Score,,19604,2:21,American Airlines Center,
"Thu, Nov 13, 2014",10:30p,Brooklyn Nets,99,Golden State Warriors,107,Box Score,,19596,2:18,Oracle Arena,
"Fri, Nov 14, 2014",7:00p,Denver Nuggets,108,Indiana Pacers,87,Box Score,,16286,2:12,Bankers Life Fieldhouse,
"Fri, Nov 14, 2014",7:00p,Milwaukee Bucks,85,Orlando Magic,101,Box Score,,15947,2:07,Amway Center,
"Fri, Nov 14, 2014",7:30p,Miami Heat,103,Atlanta Hawks,114,Box Score,,17090,2:08,Philips Arena,
"Fri, Nov 14, 2014",7:30p,Cleveland Cavaliers,122,Boston Celtics,121,Box Score,,18624,2:23,TD Garden,
"Fri, Nov 14, 2014",7:30p,Utah Jazz,102,New York Knicks,100,Box Score,,19812,2:31,Madison Square Garden (IV),
"Fri, Nov 14, 2014",8:00p,Philadelphia 76ers,87,Houston Rockets,88,Box Score,,18138,2:25,Toyota Center,
"Fri, Nov 14, 2014",8:00p,Minnesota Timberwolves,91,New Orleans Pelicans,139,Box Score,,14775,2:05,Smoothie King Center,
"Fri, Nov 14, 2014",8:00p,Detroit Pistons,96,Oklahoma City Thunder,89,Box Score,OT,18203,2:22,Chesapeake Energy Arena,
"Fri, Nov 14, 2014",9:00p,Charlotte Hornets,103,Phoenix Suns,95,Box Score,,16291,2:08,US Airways Center,
"Fri, Nov 14, 2014",10:00p,San Antonio Spurs,93,Los Angeles Lakers,80,Box Score,,18997,2:12,STAPLES Center,
"Sat, Nov 15, 2014",7:00p,Orlando Magic,93,Washington Wizards,98,Box Score,,19110,2:10,Verizon Center,
"Sat, Nov 15, 2014",7:30p,Atlanta Hawks,94,Cleveland Cavaliers,127,Box Score,,20562,1:55,Quicken Loans Arena,
"Sat, Nov 15, 2014",7:30p,Utah Jazz,93,Toronto Raptors,111,Box Score,,19800,2:04,Air Canada Centre,
"Sat, Nov 15, 2014",8:00p,Indiana Pacers,99,Chicago Bulls,90,Box Score,,22248,2:13,United Center,
"Sat, Nov 15, 2014",8:00p,Detroit Pistons,88,Memphis Grizzlies,95,Box Score,,17215,2:15,FedEx Forum,
"Sat, Nov 15, 2014",8:30p,Minnesota Timberwolves,117,Dallas Mavericks,131,Box Score,,19730,2:15,American Airlines Center,
"Sat, Nov 15, 2014",10:00p,Brooklyn Nets,87,Portland Trail Blazers,97,Box Score,,19441,2:17,Moda Center,
"Sat, Nov 15, 2014",10:00p,San Antonio Spurs,91,Sacramento Kings,94,Box Score,,17317,2:24,Sleep Train Arena,
"Sat, Nov 15, 2014",10:30p,Charlotte Hornets,87,Golden State Warriors,112,Box Score,,19596,2:03,Oracle Arena,
"Sat, Nov 15, 2014",10:30p,Phoenix Suns,107,Los Angeles Clippers,120,Box Score,,19060,2:20,STAPLES Center,
"Sun, Nov 16, 2014",1:00p,Denver Nuggets,93,New York Knicks,109,Box Score,,19812,2:18,Madison Square Garden (IV),
"Sun, Nov 16, 2014",6:00p,Milwaukee Bucks,91,Miami Heat,84,Box Score,,19680,2:17,AmericanAirlines Arena,
"Sun, Nov 16, 2014",7:00p,Houston Rockets,69,Oklahoma City Thunder,65,Box Score,,18203,2:36,Chesapeake Energy Arena,
"Sun, Nov 16, 2014",9:30p,Golden State Warriors,136,Los Angeles Lakers,115,Box Score,,18997,2:15,STAPLES Center,
"Mon, Nov 17, 2014",7:00p,Dallas Mavericks,107,Charlotte Hornets,80,Box Score,,15345,2:03,Time Warner Cable Arena,
"Mon, Nov 17, 2014",7:00p,Denver Nuggets,106,Cleveland Cavaliers,97,Box Score,,20562,2:04,Quicken Loans Arena,
"Mon, Nov 17, 2014",7:30p,Phoenix Suns,118,Boston Celtics,114,Box Score,,16726,2:16,TD Garden,
"Mon, Nov 17, 2014",7:30p,Miami Heat,95,Brooklyn Nets,83,Box Score,,17732,2:20,Barclays Center,
"Mon, Nov 17, 2014",7:30p,Orlando Magic,107,Detroit Pistons,93,Box Score,,11619,2:05,The Palace of Auburn Hills,
"Mon, Nov 17, 2014",8:00p,Houston Rockets,93,Memphis Grizzlies,119,Box Score,,17012,2:07,FedEx Forum,
"Mon, Nov 17, 2014",8:30p,Philadelphia 76ers,75,San Antonio Spurs,100,Box Score,,18581,2:06,AT&T Center,
"Mon, Nov 17, 2014",10:00p,New Orleans Pelicans,93,Portland Trail Blazers,102,Box Score,,19441,2:10,Moda Center,
"Mon, Nov 17, 2014",10:30p,Chicago Bulls,105,Los Angeles Clippers,89,Box Score,,19319,2:11,STAPLES Center,
"Tue, Nov 18, 2014",7:30p,Los Angeles Lakers,114,Atlanta Hawks,109,Box Score,,17848,2:10,Philips Arena,
"Tue, Nov 18, 2014",8:00p,New York Knicks,113,Milwaukee Bucks,117,Box Score,,12190,2:22,BMO Harris Bradley Center,
"Tue, Nov 18, 2014",9:00p,Oklahoma City Thunder,81,Utah Jazz,98,Box Score,,17190,2:09,EnergySolutions Arena,
"Tue, Nov 18, 2014",10:00p,New Orleans Pelicans,106,Sacramento Kings,100,Box Score,,16526,2:20,Sleep Train Arena,
"Wed, Nov 19, 2014",7:00p,San Antonio Spurs,92,Cleveland Cavaliers,90,Box Score,,20562,2:23,Quicken Loans Arena,
"Wed, Nov 19, 2014",7:00p,Charlotte Hornets,86,Indiana Pacers,88,Box Score,,14748,2:06,Bankers Life Fieldhouse,
"Wed, Nov 19, 2014",7:00p,Los Angeles Clippers,114,Orlando Magic,90,Box Score,,16034,2:01,Amway Center,
"Wed, Nov 19, 2014",7:00p,Boston Celtics,101,Philadelphia 76ers,90,Box Score,,12701,2:04,Wells Fargo Center,
"Wed, Nov 19, 2014",7:00p,Dallas Mavericks,105,Washington Wizards,102,Box Score,,16374,2:13,Verizon Center,
"Wed, Nov 19, 2014",7:30p,Milwaukee Bucks,122,Brooklyn Nets,118,Box Score,3OT,15694,3:05,Barclays Center,
"Wed, Nov 19, 2014",7:30p,Phoenix Suns,88,Detroit Pistons,86,Box Score,,10686,2:11,The Palace of Auburn Hills,
"Wed, Nov 19, 2014",7:30p,Memphis Grizzlies,92,Toronto Raptors,96,Box Score,,19800,2:18,Air Canada Centre,
"Wed, Nov 19, 2014",8:00p,New York Knicks,99,Minnesota Timberwolves,115,Box Score,,15304,2:10,Target Center,
"Wed, Nov 19, 2014",9:00p,Oklahoma City Thunder,100,Denver Nuggets,107,Box Score,,14140,2:09,Pepsi Center,
"Wed, Nov 19, 2014",9:30p,Los Angeles Lakers,98,Houston Rockets,92,Box Score,,18245,2:24,Toyota Center,
"Thu, Nov 20, 2014",8:00p,Los Angeles Clippers,110,Miami Heat,93,Box Score,,19685,2:21,AmericanAirlines Arena,
"Thu, Nov 20, 2014",10:30p,Chicago Bulls,88,Sacramento Kings,103,Box Score,,17317,2:25,Sleep Train Arena,
"Fri, Nov 21, 2014",7:00p,Orlando Magic,105,Charlotte Hornets,100,Box Score,,18126,2:19,Time Warner Cable Arena,
"Fri, Nov 21, 2014",7:00p,Phoenix Suns,122,Philadelphia 76ers,96,Box Score,,16789,2:08,Wells Fargo Center,
"Fri, Nov 21, 2014",7:30p,Detroit Pistons,89,Atlanta Hawks,99,Box Score,,16517,2:12,Philips Arena,
"Fri, Nov 21, 2014",7:30p,Milwaukee Bucks,82,Toronto Raptors,124,Box Score,,19800,2:13,Air Canada Centre,
"Fri, Nov 21, 2014",8:00p,Boston Celtics,100,Memphis Grizzlies,117,Box Score,,17712,2:04,FedEx Forum,
"Fri, Nov 21, 2014",8:00p,San Antonio Spurs,121,Minnesota Timberwolves,92,Box Score,,12414,2:03,Target Center,
"Fri, Nov 21, 2014",8:00p,Brooklyn Nets,94,Oklahoma City Thunder,92,Box Score,,18203,2:22,Chesapeake Energy Arena,
"Fri, Nov 21, 2014",8:00p,Cleveland Cavaliers,78,Washington Wizards,91,Box Score,,20356,2:14,Verizon Center,
"Fri, Nov 21, 2014",8:30p,Los Angeles Lakers,106,Dallas Mavericks,140,Box Score,,20353,2:08,American Airlines Center,
"Fri, Nov 21, 2014",9:00p,New Orleans Pelicans,97,Denver Nuggets,117,Box Score,,15232,2:08,Pepsi Center,
"Fri, Nov 21, 2014",10:30p,Utah Jazz,88,Golden State Warriors,101,Box Score,,19596,2:04,Oracle Arena,
"Fri, Nov 21, 2014",10:30p,Chicago Bulls,87,Portland Trail Blazers,105,Box Score,,19866,2:13,Moda Center,
"Sat, Nov 22, 2014",7:00p,Phoenix Suns,106,Indiana Pacers,83,Box Score,,16870,2:05,Bankers Life Fieldhouse,
"Sat, Nov 22, 2014",7:00p,Miami Heat,99,Orlando Magic,92,Box Score,,18846,2:19,Amway Center,
"Sat, Nov 22, 2014",7:30p,Toronto Raptors,110,Cleveland Cavaliers,93,Box Score,,20562,2:19,Quicken Loans Arena,
"Sat, Nov 22, 2014",7:30p,Philadelphia 76ers,83,New York Knicks,91,Box Score,,19812,2:19,Madison Square Garden (IV),
"Sat, Nov 22, 2014",8:00p,Dallas Mavericks,92,Houston Rockets,95,Box Score,,18244,2:31,Toyota Center,
"Sat, Nov 22, 2014",8:00p,Sacramento Kings,113,Minnesota Timberwolves,101,Box Score,,13191,2:15,Target Center,
"Sat, Nov 22, 2014",8:30p,Washington Wizards,111,Milwaukee Bucks,100,Box Score,,14254,2:14,BMO Harris Bradley Center,
"Sat, Nov 22, 2014",8:30p,Brooklyn Nets,87,San Antonio Spurs,99,Box Score,,18581,1:56,AT&T Center,
"Sat, Nov 22, 2014",9:00p,New Orleans Pelicans,106,Utah Jazz,94,Box Score,,18452,2:12,EnergySolutions Arena,
"Sun, Nov 23, 2014",6:00p,Portland Trail Blazers,94,Boston Celtics,88,Box Score,,16692,1:57,TD Garden,
"Sun, Nov 23, 2014",6:00p,Los Angeles Clippers,91,Memphis Grizzlies,107,Box Score,,18119,2:16,FedEx Forum,
"Sun, Nov 23, 2014",6:00p,Charlotte Hornets,93,Miami Heat,94,Box Score,,19639,2:12,AmericanAirlines Arena,
"Sun, Nov 23, 2014",7:00p,Golden State Warriors,91,Oklahoma City Thunder,86,Box Score,,18203,2:27,Chesapeake Energy Arena,
"Sun, Nov 23, 2014",9:30p,Denver Nuggets,101,Los Angeles Lakers,94,Box Score,OT,18997,2:43,STAPLES Center,
"Mon, Nov 24, 2014",7:00p,Los Angeles Clippers,113,Charlotte Hornets,92,Box Score,,17180,2:09,Time Warner Cable Arena,
"Mon, Nov 24, 2014",7:00p,Orlando Magic,74,Cleveland Cavaliers,106,Box Score,,20562,2:05,Quicken Loans Arena,
"Mon, Nov 24, 2014",7:00p,Portland Trail Blazers,114,Philadelphia 76ers,104,Box Score,,11094,2:06,Wells Fargo Center,
"Mon, Nov 24, 2014",7:30p,Phoenix Suns,100,Toronto Raptors,104,Box Score,,19800,2:14,Air Canada Centre,
"Mon, Nov 24, 2014",8:00p,New York Knicks,86,Houston Rockets,91,Box Score,,18133,2:15,Toyota Center,
"Mon, Nov 24, 2014",8:30p,Indiana Pacers,111,Dallas Mavericks,100,Box Score,,19850,2:18,American Airlines Center,
"Mon, Nov 24, 2014",9:00p,Chicago Bulls,97,Utah Jazz,95,Box Score,,18904,2:04,EnergySolutions Arena,
"Tue, Nov 25, 2014",7:00p,Atlanta Hawks,106,Washington Wizards,102,Box Score,,15440,2:26,Verizon Center,
"Tue, Nov 25, 2014",7:30p,Golden State Warriors,114,Miami Heat,97,Box Score,,19647,2:19,AmericanAirlines Arena,
"Tue, Nov 25, 2014",8:00p,Detroit Pistons,86,Milwaukee Bucks,98,Box Score,,15265,2:06,BMO Harris Bradley Center,
"Tue, Nov 25, 2014",8:00p,Sacramento Kings,99,New Orleans Pelicans,89,Box Score,,17037,2:13,Smoothie King Center,
